GEOID,NAME,label,top1,top2,top3,pop,pct_nhpi,pct_tot,metro
15009030202,"Census Tract 302.02, Maui County, Hawaii",Native Hawaiian,430,100%,6%,430,1,0.06,9
15009030403,"Census Tract 304.03, Maui County, Hawaii",Native Hawaiian,425,100%,12%,425,1,0.12,9
15009030404,"Census Tract 304.04, Maui County, Hawaii",Native Hawaiian,421,71%,8%,421,0.71,0.08,9
15003006202,"Census Tract 62.02, Honolulu County, Hawaii",Samoan,410,35%,26%,410,0.35,0.26,25
15003006802,"Census Tract 68.02, Honolulu County, Hawaii",Samoan,409,38%,5%,409,0.38,0.05,25
06067004903,"Census Tract 49.03, Sacramento County, California",Fijian,408,66%,6%,408,0.66,0.06,18
15003008302,"Census Tract 83.02, Honolulu County, Hawaii",Native Hawaiian,407,74%,6%,407,0.74,0.06,25
15003008914,"Census Tract 89.14, Honolulu County, Hawaii",Samoan,406,35%,8%,406,0.35,0.08,25
48439113514,"Census Tract 1135.14, Tarrant County, Texas",Tongan,405,83%,9%,405,0.83,0.09,4
06067009323,"Census Tract 93.23, Sacramento County, California",Samoan,401,100%,7%,401,1,0.07,18
53033029502,"Census Tract 295.02, King County, Washington",Samoan,400,100%,5%,400,1,0.05,23
41051009302,"Census Tract 93.02, Multnomah County, Oregon",Tongan,398,100%,9%,398,1,0.09,27
41051008202,"Census Tract 82.02, Multnomah County, Oregon",Samoan,393,87%,4%,393,0.87,0.04,27
15003007809,"Census Tract 78.09, Honolulu County, Hawaii",Marshallese,392,95%,11%,392,0.95,0.11,25
15003008702,"Census Tract 87.02, Honolulu County, Hawaii",Samoan,384,36%,6%,384,0.36,0.06,25
49035113408,"Census Tract 1134.08, Salt Lake County, Utah",Tongan,379,56%,6%,379,0.56,0.06,19
06071002502,"Census Tract 25.02, San Bernardino County, California",Tongan,377,100%,4%,377,1,0.04,17
15009030901,"Census Tract 309.01, Maui County, Hawaii",Native Hawaiian,377,50%,14%,377,0.5,0.14,9
06059032023,"Census Tract 320.23, Orange County, California",Native Hawaiian,376,91%,3%,376,0.91,0.03,11
06067009322,"Census Tract 93.22, Sacramento County, California",Fijian,375,77%,3%,375,0.77,0.03,18
15003010305,"Census Tract 103.05, Honolulu County, Hawaii",Native Hawaiian,374,87%,8%,374,0.87,0.08,25
32003002830,"Census Tract 28.30, Clark County, Nevada",Samoan,374,95%,6%,374,0.95,0.06,10
15009030902,"Census Tract 309.02, Maui County, Hawaii",Native Hawaiian,372,82%,10%,372,0.82,0.1,9
06067007433,"Census Tract 74.33, Sacramento County, California",Fijian,367,87%,5%,367,0.87,0.05,18
06081612100,"Census Tract 6121, San Mateo County, California",Native Hawaiian,366,54%,4%,366,0.54,0.04,21
15003008614,"Census Tract 86.14, Honolulu County, Hawaii",Native Hawaiian,364,87%,4%,364,0.87,0.04,25
48439113628,"Census Tract 1136.28, Tarrant County, Texas",Tongan,363,100%,7%,363,1,0.07,4
49035100307,"Census Tract 1003.07, Salt Lake County, Utah",Samoan,360,66%,7%,360,0.66,0.07,19
15003002300,"Census Tract 23, Honolulu County, Hawaii",Native Hawaiian,358,74%,7%,358,0.74,0.07,25
06013303201,"Census Tract 3032.01, Contra Costa County, California",Samoan,357,77%,3%,357,0.77,0.03,21
06037553400,"Census Tract 5534, Los Angeles County, California",Samoan,354,86%,10%,354,0.86,0.1,11
06037602600,"Census Tract 6026, Los Angeles County, California",Samoan,351,100%,4%,351,1,0.04,11
53053071411,"Census Tract 714.11, Pierce County, Washington",Guamanian or Chamorro,345,69%,6%,345,0.69,0.06,23
15003009801,"Census Tract 98.01, Honolulu County, Hawaii",Native Hawaiian,344,77%,14%,344,0.77,0.14,25
06037603400,"Census Tract 6034, Los Angeles County, California",Native Hawaiian,339,87%,7%,339,0.87,0.07,11
53033028902,"Census Tract 289.02, King County, Washington",Samoan,338,89%,5%,338,0.89,0.05,23
15003010100,"Census Tract 101, Honolulu County, Hawaii",Native Hawaiian,338,39%,4%,338,0.39,0.04,25
15003008005,"Census Tract 80.05, Honolulu County, Hawaii",Native Hawaiian,332,96%,5%,332,0.96,0.05,25
06071003401,"Census Tract 34.01, San Bernardino County, California",Samoan,331,100%,4%,331,1,0.04,17
15003005900,"Census Tract 59, Honolulu County, Hawaii",Native Hawaiian,328,35%,8%,328,0.35,0.08,25
