GEOID,NAME,label,top1,top2,top3,pop,pct_nhpi,pct_tot,metro
06037134303,"Census Tract 1343.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134304,"Census Tract 1343.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134305,"Census Tract 1343.05, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134306,"Census Tract 1343.06, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134421,"Census Tract 1344.21, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134422,"Census Tract 1344.22, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134424,"Census Tract 1344.24, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134521,"Census Tract 1345.21, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134522,"Census Tract 1345.22, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134720,"Census Tract 1347.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134901,"Census Tract 1349.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134903,"Census Tract 1349.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134904,"Census Tract 1349.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037134905,"Census Tract 1349.05, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037135102,"Census Tract 1351.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037135114,"Census Tract 1351.14, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037135202,"Census Tract 1352.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037135203,"Census Tract 1352.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137103,"Census Tract 1371.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137104,"Census Tract 1371.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137201,"Census Tract 1372.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137301,"Census Tract 1373.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137401,"Census Tract 1374.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137402,"Census Tract 1374.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137501,"Census Tract 1375.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137502,"Census Tract 1375.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037137504,"Census Tract 1375.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037138000,"Census Tract 1380, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139001,"Census Tract 1390.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139200,"Census Tract 1392, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139301,"Census Tract 1393.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139302,"Census Tract 1393.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139303,"Census Tract 1393.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139401,"Census Tract 1394.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139402,"Census Tract 1394.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139502,"Census Tract 1395.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139503,"Census Tract 1395.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139504,"Census Tract 1395.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139600,"Census Tract 1396, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139701,"Census Tract 1397.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139702,"Census Tract 1397.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139703,"Census Tract 1397.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139801,"Census Tract 1398.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037139802,"Census Tract 1398.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141101,"Census Tract 1411.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141102,"Census Tract 1411.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141201,"Census Tract 1412.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141202,"Census Tract 1412.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141302,"Census Tract 1413.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141303,"Census Tract 1413.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141304,"Census Tract 1413.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141400,"Census Tract 1414, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141500,"Census Tract 1415, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037141600,"Census Tract 1416, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037143200,"Census Tract 1432, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037143300,"Census Tract 1433, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037143602,"Census Tract 1436.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037143603,"Census Tract 1436.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037143604,"Census Tract 1436.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037143800,"Census Tract 1438, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037143901,"Census Tract 1439.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037181000,"Census Tract 1810, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037181300,"Census Tract 1813, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037181400,"Census Tract 1814, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183101,"Census Tract 1831.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183103,"Census Tract 1831.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183222,"Census Tract 1832.22, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183300,"Census Tract 1833, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183520,"Census Tract 1835.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183610,"Census Tract 1836.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183702,"Census Tract 1837.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183810,"Census Tract 1838.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037183820,"Census Tract 1838.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037185100,"Census Tract 1851, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037185202,"Census Tract 1852.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037185203,"Census Tract 1852.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037185204,"Census Tract 1852.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037185320,"Census Tract 1853.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037186100,"Census Tract 1861, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037186201,"Census Tract 1862.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037186202,"Census Tract 1862.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037186203,"Census Tract 1862.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037186301,"Census Tract 1863.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037186302,"Census Tract 1863.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037186401,"Census Tract 1864.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037186403,"Census Tract 1864.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037187200,"Census Tract 1872, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037187300,"Census Tract 1873, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037188100,"Census Tract 1881, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037188201,"Census Tract 1882.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037188202,"Census Tract 1882.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189101,"Census Tract 1891.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189102,"Census Tract 1891.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189201,"Census Tract 1892.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189202,"Census Tract 1892.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189300,"Census Tract 1893, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189400,"Census Tract 1894, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189600,"Census Tract 1896, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189701,"Census Tract 1897.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189702,"Census Tract 1897.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189800,"Census Tract 1898, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189902,"Census Tract 1899.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189903,"Census Tract 1899.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037189905,"Census Tract 1899.05, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190100,"Census Tract 1901, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190201,"Census Tract 1902.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190202,"Census Tract 1902.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190301,"Census Tract 1903.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190402,"Census Tract 1904.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190520,"Census Tract 1905.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190700,"Census Tract 1907, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190801,"Census Tract 1908.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190802,"Census Tract 1908.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190901,"Census Tract 1909.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037190902,"Census Tract 1909.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191110,"Census Tract 1911.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191201,"Census Tract 1912.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191203,"Census Tract 1912.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191204,"Census Tract 1912.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191301,"Census Tract 1913.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191302,"Census Tract 1913.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191410,"Census Tract 1914.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191420,"Census Tract 1914.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191610,"Census Tract 1916.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191620,"Census Tract 1916.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191710,"Census Tract 1917.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191720,"Census Tract 1917.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191810,"Census Tract 1918.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191820,"Census Tract 1918.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191901,"Census Tract 1919.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037191902,"Census Tract 1919.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037192001,"Census Tract 1920.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037192300,"Census Tract 1923, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037192420,"Census Tract 1924.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037192510,"Census Tract 1925.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037192520,"Census Tract 1925.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037192610,"Census Tract 1926.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037192620,"Census Tract 1926.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037192700,"Census Tract 1927, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037194101,"Census Tract 1941.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037194300,"Census Tract 1943, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037194401,"Census Tract 1944.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037194402,"Census Tract 1944.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037194500,"Census Tract 1945, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195100,"Census Tract 1951, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195201,"Census Tract 1952.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195400,"Census Tract 1954, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195600,"Census Tract 1956, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195710,"Census Tract 1957.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195802,"Census Tract 1958.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195803,"Census Tract 1958.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195804,"Census Tract 1958.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195901,"Census Tract 1959.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195902,"Census Tract 1959.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037195903,"Census Tract 1959.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037197200,"Census Tract 1972, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037197300,"Census Tract 1973, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037197420,"Census Tract 1974.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037197500,"Census Tract 1975, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037197600,"Census Tract 1976, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037199000,"Census Tract 1990, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037199110,"Census Tract 1991.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037199120,"Census Tract 1991.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037199201,"Census Tract 1992.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037199202,"Census Tract 1992.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037199800,"Census Tract 1998, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037199900,"Census Tract 1999, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201110,"Census Tract 2011.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201120,"Census Tract 2011.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201200,"Census Tract 2012, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201301,"Census Tract 2013.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201302,"Census Tract 2013.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201401,"Census Tract 2014.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201402,"Census Tract 2014.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201501,"Census Tract 2015.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201503,"Census Tract 2015.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201504,"Census Tract 2015.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201601,"Census Tract 2016.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037201602,"Census Tract 2016.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037203100,"Census Tract 2031, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037203600,"Census Tract 2036, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037203710,"Census Tract 2037.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037203720,"Census Tract 2037.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037203800,"Census Tract 2038, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037203900,"Census Tract 2039, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204110,"Census Tract 2041.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204120,"Census Tract 2041.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204200,"Census Tract 2042, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204300,"Census Tract 2043, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204420,"Census Tract 2044.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204600,"Census Tract 2046, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204700,"Census Tract 2047, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204810,"Census Tract 2048.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204820,"Census Tract 2048.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204910,"Census Tract 2049.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037204920,"Census Tract 2049.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037205110,"Census Tract 2051.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037205120,"Census Tract 2051.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037206010,"Census Tract 2060.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037206032,"Census Tract 2060.32, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037206050,"Census Tract 2060.50, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037206200,"Census Tract 2062, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207101,"Census Tract 2071.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207102,"Census Tract 2071.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207103,"Census Tract 2071.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207301,"Census Tract 2073.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207302,"Census Tract 2073.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207400,"Census Tract 2074, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207501,"Census Tract 2075.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207502,"Census Tract 2075.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207710,"Census Tract 2077.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037207900,"Census Tract 2079, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208000,"Census Tract 2080, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208302,"Census Tract 2083.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208402,"Census Tract 2084.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208502,"Census Tract 2085.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208710,"Census Tract 2087.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208720,"Census Tract 2087.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208802,"Census Tract 2088.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208902,"Census Tract 2089.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208903,"Census Tract 2089.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037208904,"Census Tract 2089.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037209102,"Census Tract 2091.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037209300,"Census Tract 2093, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037209402,"Census Tract 2094.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037209510,"Census Tract 2095.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037209520,"Census Tract 2095.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037209810,"Census Tract 2098.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211000,"Census Tract 2110, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211122,"Census Tract 2111.22, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211202,"Census Tract 2112.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211320,"Census Tract 2113.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211410,"Census Tract 2114.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211420,"Census Tract 2114.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211500,"Census Tract 2115, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211701,"Census Tract 2117.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211703,"Census Tract 2117.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211704,"Census Tract 2117.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211804,"Census Tract 2118.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211910,"Census Tract 2119.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211921,"Census Tract 2119.21, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037211922,"Census Tract 2119.22, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212101,"Census Tract 2121.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212202,"Census Tract 2122.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212204,"Census Tract 2122.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212303,"Census Tract 2123.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212304,"Census Tract 2123.04, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212305,"Census Tract 2123.05, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212306,"Census Tract 2123.06, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212410,"Census Tract 2124.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212501,"Census Tract 2125.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212502,"Census Tract 2125.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212610,"Census Tract 2126.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212620,"Census Tract 2126.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212701,"Census Tract 2127.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212702,"Census Tract 2127.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212800,"Census Tract 2128, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037212900,"Census Tract 2129, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037213100,"Census Tract 2131, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037213202,"Census Tract 2132.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037213310,"Census Tract 2133.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037213401,"Census Tract 2134.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037213402,"Census Tract 2134.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214100,"Census Tract 2141, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214400,"Census Tract 2144, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214501,"Census Tract 2145.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214502,"Census Tract 2145.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214503,"Census Tract 2145.03, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214600,"Census Tract 2146, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214800,"Census Tract 2148, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214901,"Census Tract 2149.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037214902,"Census Tract 2149.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037215102,"Census Tract 2151.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037216100,"Census Tract 2161, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037216401,"Census Tract 2164.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037216402,"Census Tract 2164.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037216700,"Census Tract 2167, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037216900,"Census Tract 2169, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037217001,"Census Tract 2170.01, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037217002,"Census Tract 2170.02, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037217100,"Census Tract 2171, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037217200,"Census Tract 2172, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037218110,"Census Tract 2181.10, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037218120,"Census Tract 2181.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037218220,"Census Tract 2182.20, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037218300,"Census Tract 2183, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
06037218400,"Census Tract 2184, Los Angeles County, California",Native Hawaiian,0,0%,0%,,,,11
