NAMELSAD,top_metro_metroP,top_metro_asnP,top_metro_nhpiP,GEOID_2,NAMELSAD_2
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17197",Will County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17043",DuPage County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17097",Lake County
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9549229","605836","3346","17111",McHenry County
"Anchorage, AK Metro Area","6090196","605691","3714","02020",Anchorage Municipality
"Anchorage, AK Metro Area","6090196","605691","3714","02170",Matanuska-Susitna Borough
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48157",Fort Bend County
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48473",Waller County
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48167",Galveston County
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48201",Harris County
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48291",Liberty County
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48071",Chambers County
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48039",Brazoria County
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48015",Austin County
"Houston-The Woodlands-Sugar Land, TX Metro Area","6636208","495899","3899","48339",Montgomery County
"Kahului-Wailuku-Lahaina, HI Metro Area","6090196","605691","3714","15009",Maui County
"Las Vegas-Henderson-Paradise, NV Metro Area","2112436","203606","15583","32003",Clark County
"Los Angeles-Long Beach-Anaheim, CA Metro Area","13261538","2081686","37311","06037",Los Angeles County
"Los Angeles-Long Beach-Anaheim, CA Metro Area","13261538","2081686","37311","06059",Orange County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27095",Mille Lacs County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","55093",Pierce County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27171",Wright County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27139",Scott County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27025",Chisago County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27037",Dakota County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27003",Anoka County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27123",Ramsey County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27059",Isanti County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27163",Washington County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27141",Sherburne County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27079",Le Sueur County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27053",Hennepin County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","55109",St. Croix County
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3526149","225377","1346","27019",Carver County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34037",Sussex County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36103",Suffolk County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34039",Union County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36059",Nassau County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34023",Middlesex County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36119",Westchester County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34017",Hudson County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36085",Richmond County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","36079",Putnam County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34025",Monmouth County
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20192042","2195326","7917","34035",Somerset County
