GEOID,NAME,label,top1,top2,top3,pop,pct_asn,pct_tot,metro
06001408200,"Census Tract 4082, Alameda County, California",Chinese,84,38%,2%,84,0.38,0.02,21
06037124500,"Census Tract 1245, Los Angeles County, California",Korean,84,35%,3%,84,0.35,0.03,11
06037134421,"Census Tract 1344.21, Los Angeles County, California",Chinese,84,26%,2%,84,0.26,0.02,11
06037262303,"Census Tract 2623.03, Los Angeles County, California",Chinese,84,54%,3%,84,0.54,0.03,11
06037530602,"Census Tract 5306.02, Los Angeles County, California",Chinese,84,84%,6%,84,0.84,0.06,11
06037533103,"Census Tract 5331.03, Los Angeles County, California",Vietnamese,84,100%,3%,84,1,0.03,11
06065041201,"Census Tract 412.01, Riverside County, California",Laotian,84,25%,2%,84,0.25,0.02,17
06073002804,"Census Tract 28.04, San Diego County, California",Vietnamese,84,30%,1%,84,0.3,0.01,20
06073002905,"Census Tract 29.05, San Diego County, California",Asian Indian,84,24%,2%,84,0.24,0.02,20
06073016609,"Census Tract 166.09, San Diego County, California",Filipino,84,64%,2%,84,0.64,0.02,20
06073019602,"Census Tract 196.02, San Diego County, California",Vietnamese,84,74%,2%,84,0.74,0.02,20
06073020106,"Census Tract 201.06, San Diego County, California",Korean,84,33%,2%,84,0.33,0.02,20
06077002201,"Census Tract 22.01, San Joaquin County, California",Filipino,84,94%,3%,84,0.94,0.03,24
06081610203,"Census Tract 6102.03, San Mateo County, California",Filipino,84,48%,2%,84,0.48,0.02,21
06081613400,"Census Tract 6134, San Mateo County, California",Chinese,84,50%,3%,84,0.5,0.03,21
42045409200,"Census Tract 4092, Delaware County, Pennsylvania",Vietnamese,84,41%,2%,84,0.41,0.02,14
42091201605,"Census Tract 2016.05, Montgomery County, Pennsylvania",Asian Indian,84,72%,3%,84,0.72,0.03,14
42091201606,"Census Tract 2016.06, Montgomery County, Pennsylvania",Vietnamese,84,47%,3%,84,0.47,0.03,14
42091210100,"Census Tract 2101, Montgomery County, Pennsylvania",Chinese,84,76%,2%,84,0.76,0.02,14
42101033000,"Census Tract 330, Philadelphia County, Pennsylvania",Chinese,84,61%,1%,84,0.61,0.01,14
34003043002,"Census Tract 430.02, Bergen County, New Jersey",Korean,84,48%,2%,84,0.48,0.02,13
34007609103,"Census Tract 6091.03, Camden County, New Jersey",Asian Indian,84,52%,2%,84,0.52,0.02,14
34013018700,"Census Tract 187, Essex County, New Jersey",Asian Indian,84,86%,2%,84,0.86,0.02,13
34013021701,"Census Tract 217.01, Essex County, New Jersey",Chinese,84,40%,2%,84,0.4,0.02,13
34023007500,"Census Tract 75, Middlesex County, New Jersey",Pakistani,84,66%,3%,84,0.66,0.03,13
34027040300,"Census Tract 403, Morris County, New Jersey",Asian Indian,84,100%,1%,84,1,0.01,13
34029717002,"Census Tract 7170.02, Ocean County, New Jersey",Chinese,84,45%,2%,84,0.45,0.02,13
34029717300,"Census Tract 7173, Ocean County, New Jersey",Filipino,84,67%,1%,84,0.67,0.01,13
34031175500,"Census Tract 1755, Passaic County, New Jersey",Filipino,84,53%,1%,84,0.53,0.01,13
24031702800,"Census Tract 7028, Montgomery County, Maryland",Chinese,84,25%,2%,84,0.25,0.02,26
51153901219,"Census Tract 9012.19, Prince William County, Virginia",Korean,84,58%,2%,84,0.58,0.02,26
51179010105,"Census Tract 101.05, Stafford County, Virginia",Filipino,84,33%,1%,84,0.33,0.01,26
17031811702,"Census Tract 8117.02, Cook County, Illinois",Hmong,84,46%,2%,84,0.46,0.02,6
17031812400,"Census Tract 8124, Cook County, Illinois",Asian Indian,84,38%,3%,84,0.38,0.03,6
17031823702,"Census Tract 8237.02, Cook County, Illinois",Asian Indian,84,67%,1%,84,0.67,0.01,6
17037000400,"Census Tract 4, DeKalb County, Illinois",Chinese,84,35%,1%,84,0.35,0.01,6
17089851500,"Census Tract 8515, Kane County, Illinois",Asian Indian,84,83%,7%,84,0.83,0.07,6
17097864303,"Census Tract 8643.03, Lake County, Illinois",Korean,84,47%,2%,84,0.47,0.02,6
25009221902,"Census Tract 2219.02, Essex County, Massachusetts",Asian Indian,84,65%,2%,84,0.65,0.02,2
25017350800,"Census Tract 3508, Middlesex County, Massachusetts",Chinese,84,76%,4%,84,0.76,0.04,2
25021411100,"Census Tract 4111, Norfolk County, Massachusetts",Chinese,84,45%,1%,84,0.45,0.01,2
26099267600,"Census Tract 2676, Macomb County, Michigan",Hmong,84,100%,6%,84,1,0.06,5
26125137700,"Census Tract 1377, Oakland County, Michigan",Asian Indian,84,59%,5%,84,0.59,0.05,5
26125158100,"Census Tract 1581, Oakland County, Michigan",Sri Lankan,84,58%,3%,84,0.58,0.03,5
26163563200,"Census Tract 5632, Wayne County, Michigan",Asian Indian,84,36%,3%,84,0.36,0.03,5
26163588100,"Census Tract 5881, Wayne County, Michigan",Taiwanese,84,43%,4%,84,0.43,0.04,5
27037060103,"Census Tract 601.03, Dakota County, Minnesota",Chinese,84,78%,3%,84,0.78,0.03,12
27037060826,"Census Tract 608.26, Dakota County, Minnesota",Japanese,84,24%,1%,84,0.24,0.01,12
36005030200,"Census Tract 302, Bronx County, New York",Cambodian,84,62%,1%,84,0.62,0.01,13
36005040501,"Census Tract 405.01, Bronx County, New York",Asian Indian,84,41%,2%,84,0.41,0.02,13
